Sale Date,Item Name,Quantity,Price,Coupon Code,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Listing ID,Date Paid,Date Shipped,Ship State,Ship Country,Variations,Order Type,Listings Type,SKU,order_key,buyer_key
01/02/24,Gift for Godmother | Godmother Picture Frame | Personalized Frame Baptism Gift for Godmothers Are A Blessing Gift for Godmother,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,893952799,01/02/2024,01/04/2024,NJ,United States,"Color:22,Personalization:I Love My Godmother

Love, James",online,listing,,of2dd13a6dece,b83b3a623279e
01/02/25,Great Aunt and Uncle Gift Personalized Picture Frame Board For Great Aunt Only The Best Aunts Get Promoted To Great Aunt,1,60.00,DECE2024,15.00,6.70,0,0,60,USD,1180435149,01/02/2025,01/03/2025,TN,United States,"Color:12,Flowers:F3,Personalization:Only the best Aunts and Uncles get promoted to Great Aunt and Uncle",online,listing,,o2f6386c4f31f,bb1a8adf3067b
01/02/25,Will You Be My Godmother? Godmother Proposal Gift I Love My Godmother Personalized Keepsake For Godmother Gift,1,33.76,DECE2024,8.44,0.00,5.99,0,33.76,USD,506350688,01/02/2025,01/03/2025,TX,United States,"Color:as shown,bow color:white,Personalization:Will you be my Godmother? 
(Heart) Tucker Nash

Font color 17",online,listing,,o46ac6da6e616,b2aa744dc651d
01/02/25,Baby Loss Gift  Miscarriage Gift  Bereavement Gift  We Will Hold You In Our Hearts Until We Hold You In Heaven  Ultrasound Picture Frame,1,33.76,DECE2024,8.44,0.00,5.99,0,33.76,USD,784655825,01/02/2025,01/03/2025,TX,United States,"Color:39,bow color:white",online,listing,,o5cb004f8bfb6,ba3f87350c9d1
01/02/25,Best Friend Gift  Friends Frame  Blonde Brunette Ginger  Unbreakable Bond  Picture Frame Every Blonde Needs A Brunette Best Friend Frame,1,31.76,DECE2024,7.94,0.00,5.99,0,31.76,USD,498508212,01/02/2025,01/03/2025,MI,United States,Color:25,online,listing,,o65c288f59a60,bc81e63469371
01/02/25,Pet Loss Gift  Dog Memorial Gift  Personalized Gift For Pet Memorial  Dog Mom  You Were My Favorite Hello And Hardest Goodbye,1,31.76,DECE2024,7.94,0.00,5.99,0,31.76,USD,658788223,01/02/2025,01/03/2025,NY,United States,"Color:16,Personalization:&quot;Once by our side, forever in our hearts. 
Tiki&quot;

she was a bird, so can we just do a heart and no paw print?",online,listing,,o8765cfb40f75,bf1fc5e43bad8
01/02/26,Personalized Grandpa Picture Frame: Custom Christmas Gift for Grandfather,1,31.95,EAHIONEAT,15.98,10.05,0,0,31.95,USD,805343785,01/02/2026,01/05/2026,NY,United States,"Color:18,Personalization:I Love My Nana! (At the top) 💜 Saoirse (at the bottom)  please make the frame wide.",online,listing,4276173255_18_042B9,o0b1a7eabc217,bbc54ca491eef
01/02/26,Personalized Grandpa Picture Frame: Custom Christmas Gift for Grandfather,1,31.95,EAHIONEAT,0,0,0,0,31.95,USD,805343785,01/02/2026,01/05/2026,NY,United States,"Color:27,Personalization:We Love Our Nana! (At the top) 💙 Flynn & Liam (at the bottom)",online,listing,427617325589731,o0b1a7eabc217,bbc54ca491eef
01/02/26,New Baby Girl Gift  Personalized Baby Girl Gift  Love At First Sight Frame  Ultrasound Picture Frame  Baby Shower Gift,1,31.95,EAHIONEAT,7.99,0.00,6.55,0,31.95,USD,796008486,01/02/2026,01/05/2026,IL,United States,Personalization:SIENNA GRACE,online,listing,4537094012_BADA,o4a37a4239329,
01/02/26,Personalized Car Charm: Inspirational Rearview Mirror Ornament,1,12.95,EAHIONEAT,3.24,0.00,4.95,0,12.95,USD,1815135766,01/02/2026,01/05/2026,CT,United States,"background color:off white barnwood,Personalization:2026:  Grow!",online,listing,22902741439_offwhitebarnwoo75994,oab24553b3c32,
01/03/24,Christmas Grandma’s Little Girl | Grandma Gift | Mimi Frame | Gift for Grandma | Christmas Mimi Gift | Personalized Picture,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,786256872,01/03/2024,01/04/2024,VA,United States,"Color:3,Personalization:Please replace the wording to read 
Above picture- “Grandma’s little girl”
Below picture- “(Heart symbol) Zoey”",online,listing,,o165b3bd941ca,bf3e8b75714b2
01/03/24,Grandpa Personalized Christmas Gift | Christmas Gift Grandpa | I Love My Grandpa | Grandpa Personalized Gift | 4x6 Picture Frame Custom,1,24.50,NEWYEAR,7.35,10.75,0,0,24.5,USD,723490021,01/03/2024,01/04/2024,NC,United States,"Color:39,Personalization:Replace Grandpa’s to Pappy’s Buddy 
Keep the heart.. replace name with Bodie",online,listing,,o8d4b11fb0aaa,b1edf0f9367a4
01/03/24,Mimi Gift Grandma Gift Mother's Day | Mimi Frame | Gift for Grandma | Mimi Gift | Personalized Picture Frame Grandma Personalized Gift,1,24.50,NEWYEAR,0,0,0,0,24.5,USD,795301379,01/03/2024,01/04/2024,NC,United States,"Color:As Shown,Personalization:Replace name as shown to Bodie",online,listing,,o8d4b11fb0aaa,b1edf0f9367a4
01/03/24,Godfathers Are A Blessing | Gift For Godfather | Godfather Picture Frame | Personalized Frame | Baptism Gift |  Gift Godfather,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,503492874,01/03/2024,01/04/2024,VA,United States,"Color:24,Personalization:Morgan Marie",online,listing,,oa23548ebfe4e,bc56167de5cea
01/03/24,Daddy's Little Girl | Fathers Day Gift | Dad Daddy First Fathers Day | Personalized Gift 4x6 Picture Frame Custom For Dad Grandpa Papa,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,807143493,01/03/2024,01/04/2024,MA,United States,Color:3,online,listing,,oe46ffe39a2e1,b3b7a6c4e74c6
01/03/26,Love At First Sight Picture Frame  Ultrasound Picture Frame  New Baby Gift  Sonogram Frame,3,34.55,EAHIONEAT,25.91,12.95,0,0,103.65,USD,226797672,01/03/2026,01/05/2026,SC,United States,"Color:20,Bow Color:Natural Burlap,Personalization:Baby McVey Coming August 2026",online,listing,2861967966_20NaturalBurlap_3F8ED,o024614a0a99c,bb5c26b53fc32
01/03/26,"Funny Mom Picture Frame: Favorite Child Gift from Daughter, Personalized",1,32.55,EAHIONEAT,8.14,0.00,5.95,0,32.55,USD,4298746666,01/03/2026,01/05/2026,IL,United States,,online,listing,24765855563_B648,o1e7f009e1df6,bae5fcac64069
01/03/26,Personalized Pet Photo Car Charm: Memorial Rearview Mirror Ornament,1,20.95,EAHIONEAT,5.24,0.00,4.95,0,20.95,USD,1697897924,01/03/2026,01/05/2026,AZ,United States,"one sided print:both sides (same),Personalization:Always along for the ride. &lt;3 Wilbur",online,listing,20540485361_bothsides(same)52B49,o2010b774d028,b08ace5ed5e12
01/04/24,Will You Be My Godmother? | Godmother Proposal Gift | I Love My Godmother | Godmother Gift,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,506350688,01/04/2024,01/04/2024,MA,United States,"Color:17,bow color:white,Personalization:My Godmother (heart)",online,listing,,o638be3669270,b929f7f4685ce
01/04/24,Love At First Sight Picture Frame | Ultrasound Picture Frame | New Baby Gift | Sonogram Frame,1,26.50,NEWYEAR,11.93,13.75,0,0,26.5,USD,226797672,01/04/2024,01/04/2024,CA,United States,"Color:3,Bow Color:Natural Burlap,Personalization:Put on bottom of frame: סבא אבי 🖤 סבתא לאה",online,listing,,o8f6f415aabed,b1876e8a586d3
01/04/24,Love At First Sight Picture Frame | Ultrasound Picture Frame | New Baby Gift | Sonogram Frame,1,26.50,NEWYEAR,0,0,0,0,26.5,USD,226797672,01/04/2024,01/04/2024,CA,United States,"Color:3,Bow Color:Natural Burlap,Personalization:Put at bottom of frame: 🖤 Grammy’s Girl 🖤",online,listing,,o8f6f415aabed,b1876e8a586d3
01/04/24,Love At First Sight Picture Frame | Ultrasound Picture Frame | New Baby Gift | Sonogram Frame,1,26.50,NEWYEAR,0,0,0,0,26.5,USD,226797672,01/04/2024,01/04/2024,CA,United States,"Color:3,Bow Color:Natural Burlap,Personalization:Put at bottom of frame: 🖤 ​​סבתא רבקה 🖤",online,listing,,o8f6f415aabed,b1876e8a586d3
01/04/24,Engagement Countdown | Days Until We Say I Do | Chalkboard Frame For Bride To Be | Future Mr. & Mrs.,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,658172835,01/04/2024,01/04/2024,MA,United States,"Color:37,Personalization:Mr. & Mrs. Ryder",online,listing,,oc2d6d75110d1,b8fc07d2bc793
01/04/26,Godfather Gift Uncle Gift Gift For Godfather Godfather Picture Frame Personalized Frame Uncle Promoted to Godfather,1,32.55,EAHIONEAT,16.28,9.45,0,0,32.55,USD,782459715,01/04/2026,01/05/2026,CO,United States,"Color:21,Personalization:Collins",online,listing,4080603067_21_7DBB0,o2d7e0e09344c,ba3351dd8a77b
01/04/26,Godfather Gift Uncle Gift Gift For Godfather Godfather Picture Frame Personalized Frame Uncle Promoted to Godfather,1,32.55,EAHIONEAT,0,0,0,0,32.55,USD,782459715,01/04/2026,01/05/2026,CO,United States,"Color:19,Personalization:Margot",online,listing,4080603067_19_41AB3,o2d7e0e09344c,ba3351dd8a77b
01/04/26,"Twins Ultrasound Picture Frame: Pregnancy Announcement, Baby Shower Decor",1,34.55,EAHIONEAT,8.64,0.00,5.95,0,34.55,USD,508797943,01/04/2026,01/05/2026,CA,United States,"Color:As Shown,Bow color:White,Personalization:Double Happiness",online,listing,2588338557_AsShownWhite_B0F80,oa28d7ccccabd,b99348b92b4d1
01/04/26,Godfathers Are A Blessing  Gift For Godfather  Godfather Picture Frame  Personalized Frame  Baptism Gift   Gift Godfather,1,32.55,EAHIONEAT,8.14,0.00,35.5,0,32.55,USD,503492874,01/04/2026,01/05/2026,ON,Canada,Color:22,online,listing,2844389344_22_F1C65,oca8e5104c897,bd109f978ae4a
01/04/26,Personalized Pet Memorial Frame: Custom Dog Cat Loss Sympathy Gift,1,32.55,EAHIONEAT,8.14,0.00,11.95,0,32.55,USD,1778211963,01/04/2026,01/05/2026,IN,United States,"Color:16,Personalization:Silver Bell ❤️",online,listing,22140120994_16_B290C,oec9ee7bab241,b9c55499401d2
01/05/24,Uncle Personalized Picture Frame | Christmas Gift For Uncle | Personalized Gift From Niece Nephew,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,227714499,01/05/2024,01/08/2024,WA,United States,"Color:41,Personalization:WE LOVE OUR UNCLE ERIC
❤️ HOLDEN & MAKENNA
*same font and color as photo, please",online,listing,,o37b69c31678f,b3c27e892feae
01/05/24,Godfather Gift | Uncle Gift | Gift For Godfather | Godfather Picture Frame | Personalized Frame | Uncle Promoted to Godfather,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,782459715,01/05/2024,01/08/2024,VA,United States,"Color:24,Personalization:Matthew (is the name I want at the bottom beside the heart)",online,listing,,o5f6f1e83c326,bdb429f84c25e
01/05/25,Uncle Personalized Picture Frame Christmas Gift For Uncle  Personalized Gift From Niece Nephew,1,31.76,DECE2024,7.94,0.00,5.99,0,31.76,USD,227714499,01/05/2025,01/09/2025,CA,United States,"Color:16,Personalization:Replace Jeremiah with Gabey so it reads Uncle Gabey
Replace 🤍Amelia with🤍A.L.L.",online,listing,,o5a7cbf2f0594,
01/05/26,Personalized Grandma Picture Frame: Grandma's Little Girl Gift,1,32.55,EAHIONEAT,8.14,0.00,5.95,0,32.55,USD,506405987,01/05/2026,01/05/2026,OH,United States,Personalization:Ellie,online,listing,7598247593_E647,o5b9bf4cbda19,bca74baf2f127
01/05/26,"[custom order — title redacted, contained customer name]",1,34.55,EAHIONEAT,8.64,0.00,0,0,34.55,USD,4435608278,01/05/2026,01/05/2026,CA,United States,,online,listing,,o6eaecea0caf1,b99348b92b4d1
01/05/26,Personalized Mimi Picture Frame: Grandmother & Granddaughter Gift,1,32.55,EAHIONEAT,8.14,0.00,5.95,0,32.55,USD,4298217103,01/05/2026,01/05/2026,TN,United States,Personalization:Lexi Jane,online,listing,25204313164_47D4,oa21e8bd70866,bc224332d9edc
01/05/26,Great Aunt Gift Birthday Gift for Great Aunt Picture Frame For Aunt  Nana Great Aunt  Only The Best Aunts Get Promoted To Great Aunt,1,34.55,EAHIONEAT,8.64,0.00,5.95,0,34.55,USD,644340336,01/05/2026,01/08/2026,NJ,United States,"Color:As Shown,Bow Color:Cameo pink",online,listing,2987396796_AsShownCameopink13111,ob3113043331c,b472704d181df
01/05/26,Pink Bow Coquette Car Coasters | Set of 2 Girly Cup‑Holder Inserts | Cute Preppy Aesthetic Gift,1,11.55,JANFIRSTWEEK,3.47,0.00,5.95,0,11.55,USD,4329280383,01/05/2026,01/08/2026,CA,United States,DESIGN:Hearts,online,listing,25660190660_45ED_Hearts_93799,ob6802636db09,b56f2bb4468d1
01/05/26,Love At First Sight Picture Frame  Ultrasound Picture Frame  New Baby Gift  Sonogram Frame,1,34.55,EAHIONEAT,8.64,0.00,5.95,0,34.55,USD,226797672,01/05/2026,01/05/2026,FL,United States,"Color:31,Bow Color:White,Personalization:Love at first sight",online,listing,2861967966_31White_27C59,ob89632ef7f50,baf8da69a36b6
01/05/26,Godmother Gift  Godmothers Are A Blessing  Gift For Godmother  Godmother Picture Frame  Personalized Frame  Baptism Gift |,2,32.55,JANFIRSTWEEK,19.53,9.45,0,0,65.1,USD,689488538,01/05/2026,01/08/2026,WA,United States,"Color:3,Personalization:Godmothers are a blessing. Thank you for being mine! Love, Kensie
(Just like the picture shown with Benjamin on it.)",online,listing,342732628840994,oeaff0119b2eb,b899302230051
01/06/24,Godmother Gift | Personalized For Godmother | Personalized Gift For Godmother | Gift From Godchild | Godmothers Are A Blessing | 4x6 Frame,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,839354454,01/06/2024,01/08/2024,NY,United States,"Color:22,bow color:pink,Personalization:Only the best Aunt’s are promoted to GodMother (heart) Nevaeh",online,listing,,o0daca1c67c26,b2b9899a59056
01/06/24,Godmother Gift | Godmother Baptism Gift | Godmothers Are Special Personalized 4x6 Frame | Godmother Confirmation Gift,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,487255188,01/06/2024,01/08/2024,NY,United States,"Color:34,Bow Color:White,Personalization:Godmothers are special because they are chosen. Love Zoe",online,listing,,oac86444d395d,bc1b25cc227ba
01/06/24,Baby Loss Gift | Miscarriage Gift | Bereavement Gift | We Will Hold You In Our Hearts Until We Hold You In Heaven | Ultrasound Picture Frame,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,784655825,01/06/2024,01/08/2024,IL,United States,"Color:27,bow color:white",online,listing,,odf27f73ea1ed,b15e036b8c8b1
01/06/25,Aunt Christmas Gift  Gift For Aunt Aunt Picture Frame  Personalized Picture Frame Gift For Aunt From Niece  Nephew,1,31.76,DECE2024,7.94,0.00,5.99,0,31.76,USD,1184923801,01/06/2025,01/09/2025,NJ,United States,"Color:24,Personalization:vertical frame 

Top: I love my Aunt Chelsea 

Bottom: ❤️ Jasper",online,listing,,o351dba62a81d,b5a92dc429523
01/06/25,Grandpa Gift Christmas Gift For Grandpa I Love My Grandpa Picture Grandpa Personalized Gift 4x6 Picture Frame Custom For Dad Grandpa,1,31.76,DECE2024,15.88,8.99,0,0,31.76,USD,805343785,01/06/2025,01/09/2025,CO,United States,"Color:15,Personalization:I LOVE MY GRANDMA
LOVE, LOGAN",online,listing,,oab3e9799aa1d,b23da2127e58c
01/06/25,Grandpa Gift Christmas Gift For Grandpa I Love My Grandpa Picture Grandpa Personalized Gift 4x6 Picture Frame Custom For Dad Grandpa,1,31.76,DECE2024,0,0,0,0,31.76,USD,805343785,01/06/2025,01/09/2025,CO,United States,"Color:17,Personalization:I LOVE MY GRANDPA
LOVE, LOGAN",online,listing,,oab3e9799aa1d,b23da2127e58c
01/06/26,Grandpa’s Buddy Picture Frame – Gift for Grandpa from Grandson or Granddaughter – Custom Photo Frame – Personalized Father’s Day Gift,1,32.55,JANFIRSTWEEK,9.77,0.00,5.95,0,32.55,USD,4312571680,01/06/2026,01/08/2026,NY,United States,"Color:20,Personalization:Gramma’s Good Boy ❤️Tommy 

Please do a vertical 4x6. thank you!!",online,listing,22643704459_20_0A37F65D8D,o9e6fe88090bd,bf79a1cb13091
01/06/26,Love At First Sight Picture Frame  Ultrasound Picture Frame  New Baby Gift  Sonogram Frame,1,34.55,JANFIRSTWEEK,10.37,0.00,5.95,0,34.55,USD,226797672,01/06/2026,01/08/2026,IL,United States,"Color:As Shown,Bow Color:White",online,listing,2861967966_AsShownWhite_0A91F,ob04e7d92644c,b07c267965acb
01/06/26,Grandma Mother’s Day Gift For Grandma Mother’s Day Grandma Gift  Mimi Frame Gift for Grandma Mimi Gift Personalized Picture Frame Grandma,1,32.55,JANFIRSTWEEK,9.77,0.00,5.95,0,32.55,USD,1821059421,01/06/2026,01/08/2026,NJ,United States,"Color:23,Personalization:MiMi’s Crew",online,listing,2320074319678748,ob798272ad1d1,b8160c196d211
01/07/24,Auntie's Bestie Picture Frame | Aunt Picture Frame | Christmas Gift Aunt | Aunt Picture Frame | New Aunt Gift | Christmas Gift for Aunt,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,1576229399,01/07/2024,01/08/2024,NY,United States,"Color:1,Personalization:AUNTIE’S BESTIES 
❤️ Gz & Ashton",online,listing,,o22080fb211d0,bd08504a06f67
01/07/24,Mother's Day Gift Godmother | Godmothers Are A Blessing | Gift For Godmother | Godmother Picture Frame | Personalized Frame | Baptism Gift |,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,664548017,01/07/2024,01/08/2024,VA,United States,"Color:18,Personalization:Love Lily",online,listing,,o298c118c3a1d,bfce0b1b76882
01/07/24,Mimi Gift Grandma Gift Mother's Day | Mimi Frame | Gift for Grandma | Mimi Gift | Personalized Picture Frame Grandma Personalized Gift,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,795301379,01/07/2024,01/08/2024,VA,United States,"Color:39,Personalization:Replace the name pictured above with “Walker”",online,listing,,o428eaee3d8c7,b2872f3a18171
01/07/24,Auntie's Bestie Picture Frame | Aunt Picture Frame | Christmas Gift Aunt | Aunt Picture Frame | New Aunt Gift | Christmas Gift for Aunt,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,1576229399,01/07/2024,01/08/2024,IL,United States,"Color:25,Personalization:I love my Aunt Natalie  - (heart) Julian - in the color white",online,listing,,o6233899170b1,bb758116919f9
01/07/24,Godfather Frame | Baptism Gift For Godfather | Godfather Picture Frame | Personalized Frame | Baptism Gift | Fathers Day Gift Godfather,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,699582064,01/07/2024,01/08/2024,WI,United States,"Color:17,Personalization:I LOVE MY GODFATHER
NATHAN MATTHEW MEDCALF
BAPTIZED JANUARY 13, 2024

*No heart before the name Nathan - thank you!",online,listing,,o9140af7991e0,b25728c826396
01/07/24,Godfathers Are A Blessing | Gift For Godfather | Godfather Picture Frame | Personalized Frame | Baptism Gift |  Gift Godfather,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,503492874,01/07/2024,01/08/2024,VA,United States,Color:31,online,listing,,oef376a589a6a,b9d443fde7488
01/07/24,Engagement Gift Picture Frame | Engagement Gift | She Said Yes Frame | Personalized Wedding Frame | Announcement Picture Frame Bride To Be,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,1520573240,01/07/2024,01/08/2024,TX,United States,"Color:31,Personalization:Kallie & Matt Engaged 12-16-23",online,listing,,oef3ebc80e99b,b4d2e8fd83b86
01/07/25,Godfather Gift  Uncle Gift  Gift For Godfather  Godfather Picture Frame  Personalized Frame  Uncle Promoted to Godfather,1,32.86,JANUARY30,19.39,8.99,0,0,32.86,USD,1562156225,01/07/2025,01/09/2025,PA,United States,"Color:22,Personalization:Wesley",online,listing,,o9b31c84ec46f,b23ff0904290d
01/07/25,Godmother Gift   Godmother Frame  I Love My Godmother 4 x 6 Personalized Frame  Godmother Frame Baptism Gift 1st Communion,1,31.76,JANUARY30,0,0,0,0,31.76,USD,525640447,01/07/2025,01/09/2025,PA,United States,"Color:22,Personalization:Wesley",online,listing,,o9b31c84ec46f,b23ff0904290d
01/07/25,Grandma Christmas Gift  Grandma Personalized Gift  I'll Love You Forever 4x6 Picture Frame Grandma Mimi Nana Gift For Grandma Custom,1,31.76,JANUARY30,9.53,0.00,5.99,0,31.76,USD,609892707,01/07/2025,01/09/2025,MD,United States,"Color:34,Heart Color:Red,Personalization:Could you please change grandma to Nana. Also names are Brad, Ben, Brit, and Jax",online,listing,,odf15f4ebb15d,b663195f0d2df
01/07/26,Godmother Gift  Godmothers Are A Blessing  Gift For Godmother  Godmother Picture Frame  Personalized Frame  Baptism Gift |,1,32.55,JANFIRSTWEEK,9.77,0.00,5.95,0,32.55,USD,689488538,01/07/2026,01/08/2026,TX,United States,"Color:As Shown,Personalization:color 22
Godparents are a blessing thank you for being mine 🖤Kason",online,listing,3427326288_AsShown_F2598,o498c2b7fc972,bcb33fc0c4c53
